,t,r,velocity,theta,tau
698,1156.5683954369788,3.4973103736304147,1.315911699479507,34.900000000000155,1080.4318642423636
699,1157.2841501728278,3.5649532864945574,1.3896135316362639,34.95000000000015,1081.0673088391081
700,1158.0270238888158,3.6363653435634355,1.4666538198046724,35.00000000000015,1081.7284664847016
701,1158.7990668199154,3.7117174363382923,1.5471878340301566,35.050000000000146,1082.4173088010625
702,1159.6024895739154,3.7911881236474176,1.6313664072120002,35.10000000000014,1083.1359641705067
703,1160.4396767581661,3.874963340268268,1.719333053782688,35.15000000000014,1083.8867312149277
704,1161.313201495118,3.9632359454158435,1.8112204300001893,35.20000000000014,1084.6720931728796
705,1162.2258408017253,4.0562050753650345,1.9071460215349865,35.250000000000135,1085.4947331535504
706,1163.1805917765078,4.154075258398845,2.0072069296856743,35.30000000000013,1086.3575502161725
707,1164.1806884971534,4.257055243478174,2.111473613220062,35.35000000000013,1087.2636761834738
708,1165.2296194788455,4.36535648653299,2.219982429373713,35.40000000000013,1088.2164930461995
709,1166.3311454764914,4.479191230152195,2.332726806198078,35.450000000000124,1089.2196507500132
710,1167.4893173299085,4.598770103848322,2.4496468709994255,35.50000000000012,1090.2770850734157
711,1168.7084934466711,4.72429916324525,2.5706173584587972,35.55000000000012,1091.3930352026077
712,1169.9933563894701,4.855976277874094,2.6954336303852524,35.600000000000115,1092.5720604831715
713,1171.3489278802117,4.993986769340288,2.8237956611049886,35.65000000000011,1093.8190556757888
714,1172.7805813487,5.138498195255573,2.955289883515702,35.70000000000011,1095.1392638609211
715,1174.2940509373611,5.2896541706190074,3.0893688573475675,35.75000000000011,1096.5382859231586
716,1175.8954356241836,5.447567118744638,3.225328820919408,35.800000000000104,1098.02208529882
717,1177.591196845218,5.612309850250005,3.362285329511198,35.8500000000001,1099.5969863915807
718,1179.3881476903068,5.783905883381513,3.499147376946455,35.9000000000001,1101.2696647549715
719,1181.29343142079,5.962318444882687,3.6345906515668194,35.950000000000095,1103.0471268168808
720,1183.3144867319234,6.147438130977884,3.767030901563802,36.00000000000009,1104.9366765955908
721,1185.4589968804548,6.339069266444285,3.8945987822581296,36.05000000000009,1106.9458665538298
722,1187.734819554743,6.536915079864521,4.015118027714139,36.10000000000009,1109.0824294918978
723,1190.1498942290007,6.740561918356994,4.1260893192177575,36.150000000000084,1111.354188240658
724,1192.7121237764356,6.94946285779465,4.22468278694102,36.20000000000008,1113.7689399412513
725,1195.429227393283,7.16292122535409,4.307742631784165,36.25000000000008,1116.3343119652827
726,1198.3085624926628,7.380074737845801,4.371807820096135,36.300000000000075,1119.0575871220922
727,1201.3569142538713,7.599881165028694,4.413153084499271,36.35000000000007,1121.94549680822
728,1204.5802530426351,7.821106639645361,4.427854431069034,36.40000000000007,1125.0039822616552
729,1207.9834620115594,8.042317935865475,4.41188285682801,36.45000000000007,1128.2379261507324
730,1211.5700398632293,8.261880198104278,4.3612288663325165,36.500000000000064,1131.6508593711237
731,1215.341786955962,8.477961688318342,4.272058507993676,36.55000000000006,1135.2446510905534
732,1219.2984865012224,8.688547092027058,4.140898956456867,36.60000000000006,1139.019193619072
733,1223.437596270185,8.891460740480062,3.964848183000087,36.650000000000055,1142.972097324047
734,1227.7539695956903,9.084400733194796,3.7417991767544847,36.70000000000005,1147.0984141581105
735,1232.239627013851,9.264984360702078,3.4706648971593808,36.75000000000005,1151.3904109183131
736,1236.883601060481,9.430804435651806,3.151586246438438,36.80000000000005,1155.8374145334885
737,1241.6718759616465,9.579495179320338,2.7861026024198625,36.850000000000044,1160.4257509280196
738,1246.5874408036548,9.708805257406066,2.377263650789714,36.90000000000004,1165.1387959043313
739,1251.6104690577035,9.816674529327276,1.9296630912766792,36.95000000000004,1169.9571508450686
740,1256.7186292533481,9.901310212036154,1.4493796391313103,37.000000000000036,1174.858948040817
741,1261.8875217507932,9.961257612558597,0.9438184779837011,37.05000000000003,1179.8202807020048
742,1267.0912259637469,9.99546048192387,0.42145621691481394,37.10000000000003,1184.81574221429
743,1272.3029323229623,10.003306464720424,-0.10849683107670195,37.15000000000003,1189.8190492256458
744,1277.495625112057,9.984654065861431,-0.6364932667470532,37.200000000000024,1194.803715066392
